

[Continue Epoch 2 | Step 1750] Loss: 1.0539
[Continue Epoch 2 | Step 1800] Loss: 0.9919
[Continue Epoch 2 | Step 1850] Loss: 1.0837
[Continue Epoch 2 | Step 1900] Loss: 1.1649
[Continue Epoch 2 | Step 1950] Loss: 1.1206
[Continue Epoch 2 | Step 2000] Loss: 0.9736
[Continue Epoch 2 | Step 2050] Loss: 1.0970
[Continue Epoch 2 | Step 2100] Loss: 0.8626
[Continue Epoch 2 | Step 2150] Loss: 1.0686
[Continue Epoch 2 | Step 2200] Loss: 0.9642
[Continue Epoch 2 | Step 2250] Loss: 1.0447
[Continue Epoch 2 | Step 2300] Loss: 1.0922
[Continue Epoch 2 | Step 2350] Loss: 0.9456
[Continue Epoch 2 | Step 2400] Loss: 0.9161
[Continue Epoch 2 | Step 2450] Loss: 1.1284
[Continue Epoch 2 | Step 2500] Loss: 1.0825
[Continue Epoch 2 | Step 2550] Loss: 0.8996
[Continue Epoch 2 | Step 2600] Loss: 1.0386
[Continue Epoch 2 | Step 2650] Loss: 1.0928
[Continue Epoch 2 | Step 2700] Loss: 1.1106
[Continue Epoch 2 | Step 2750] Loss: 1.0949
[Continue Epoch 2 | Step 2800] Loss: 0.9256
[Continue Epoch 2 | Step 2850] Loss: 1.0499
[Continue Epoch 2 | Step 2900] Loss: 1.0076
[Continue Epoch 2 | Step 2950] Loss: 0.9294
[Continue Epoch 2 | Step 3000] Loss: 0.9746
[Continue Epoch 2 | Step 3050] Loss: 1.1159
[Continue Epoch 2 | Step 3100] Loss: 1.3406
[Continue Epoch 2 | Step 3150] Loss: 1.0005
[Continue Epoch 2 | Step 3200] Loss: 1.1504
[Continue Epoch 2 | Step 3250] Loss: 1.0614
[Continue Epoch 2 | Step 3300] Loss: 0.8546
[Continue Epoch 2 | Step 3350] Loss: 0.9477
[Continue Epoch 2 | Step 3400] Loss: 0.9725
[Continue Epoch 2 | Step 3450] Loss: 0.8865
[Continue Epoch 2 | Step 3500] Loss: 0.9832
[Continue Epoch 2 | Step 3550] Loss: 0.8966
[Continue Epoch 2 | Step 3600] Loss: 1.0436
[Continue Epoch 2 | Step 3650] Loss: 0.9596
[Continue Epoch 2 | Step 3700] Loss: 0.9632
[Continue Epoch 2 | Step 3750] Loss: 1.1249
[Continue Epoch 2 | Step 3800] Loss: 1.0068
[Continue Epoch 2 | Step 3850] Loss: 1.1615
[Continue Epoch 2 | Step 3900] Loss: 0.9890
[Continue Epoch 2 | Step 3950] Loss: 0.9793
[Continue Epoch 2 | Step 4000] Loss: 1.0593
[Continue Epoch 2 | Step 4050] Loss: 1.0412
[Continue Epoch 2 | Step 4100] Loss: 0.9306
[Continue Epoch 2 | Step 4150] Loss: 0.9606
[Continue Epoch 2 | Step 4200] Loss: 0.9792
[Continue Epoch 2 | Step 4250] Loss: 1.0861
[Continue Epoch 2 | Step 4300] Loss: 1.1016
[Continue Epoch 2 | Step 4350] Loss: 1.2679
[Continue Epoch 2 | Step 4400] Loss: 1.0217
[Continue Epoch 2 | Step 4450] Loss: 1.0024
[Continue Epoch 2 | Step 4500] Loss: 0.8968
[Continue Epoch 2 | Step 4550] Loss: 1.2614
[Continue Epoch 2 | Step 4600] Loss: 1.1346
[Continue Epoch 2 | Step 4650] Loss: 1.0872
[Continue Epoch 2 | Step 4700] Loss: 1.1816
[Continue Epoch 2 | Step 4750] Loss: 1.1591
[Continue Epoch 2 | Step 4800] Loss: 0.9764
[Continue Epoch 2 | Step 4850] Loss: 1.1226
[Continue Epoch 2 | Step 4900] Loss: 1.0297
[Continue Epoch 2 | Step 4950] Loss: 1.1126

Continue Epoch 2 Completed | Avg Loss: 1.0506
Best model updated
[Continue Epoch 3 | Step 0] Loss: 1.0186
[Continue Epoch 3 | Step 50] Loss: 1.0757
[Continue Epoch 3 | Step 100] Loss: 1.0763
[Continue Epoch 3 | Step 150] Loss: 0.9985
