[Epoch 4 | Step 4550] Loss: 0.9403
[Epoch 4 | Step 4600] Loss: 0.9046
[Epoch 4 | Step 4650] Loss: 0.9708
[Epoch 4 | Step 4700] Loss: 0.8819
[Epoch 4 | Step 4750] Loss: 0.8979
[Epoch 4 | Step 4800] Loss: 1.1376
[Epoch 4 | Step 4850] Loss: 0.9251
[Epoch 4 | Step 4900] Loss: 1.0177
[Epoch 4 | Step 4950] Loss: 0.9625

Epoch 4 Completed | Avg Loss: 0.9397
Best model updated
[Epoch 5 | Step 0] Loss: 0.9040
[Epoch 5 | Step 50] Loss: 0.8298
[Epoch 5 | Step 100] Loss: 0.9557
[Epoch 5 | Step 150] Loss: 0.9243
[Epoch 5 | Step 200] Loss: 0.7818
[Epoch 5 | Step 250] Loss: 0.9525
[Epoch 5 | Step 300] Loss: 0.9921
[Epoch 5 | Step 350] Loss: 0.9172
[Epoch 5 | Step 400] Loss: 1.0731
[Epoch 5 | Step 450] Loss: 0.8769
[Epoch 5 | Step 500] Loss: 0.9110
[Epoch 5 | Step 550] Loss: 0.9427
[Epoch 5 | Step 600] Loss: 0.8300
[Epoch 5 | Step 650] Loss: 0.9321
[Epoch 5 | Step 700] Loss: 0.8629
[Epoch 5 | Step 750] Loss: 0.8442
[Epoch 5 | Step 800] Loss: 0.9421
[Epoch 5 | Step 850] Loss: 0.8905
[Epoch 5 | Step 900] Loss: 0.9246
[Epoch 5 | Step 950] Loss: 0.9634
[Epoch 5 | Step 1000] Loss: 0.8546
[Epoch 5 | Step 1050] Loss: 1.0099
[Epoch 5 | Step 1100] Loss: 0.9267
[Epoch 5 | Step 1150] Loss: 0.9096
[Epoch 5 | Step 1200] Loss: 0.9235
[Epoch 5 | Step 1250] Loss: 0.9006
[Epoch 5 | Step 1300] Loss: 0.8463
[Epoch 5 | Step 1350] Loss: 0.7923
[Epoch 5 | Step 1400] Loss: 0.7737
[Epoch 5 | Step 1450] Loss: 0.8979
[Epoch 5 | Step 1500] Loss: 1.1325
[Epoch 5 | Step 1550] Loss: 1.0269
[Epoch 5 | Step 1600] Loss: 0.9700
[Epoch 5 | Step 1650] Loss: 0.9898
[Epoch 5 | Step 1700] Loss: 0.9983
[Epoch 5 | Step 1750] Loss: 0.9198
[Epoch 5 | Step 1800] Loss: 0.8399
[Epoch 5 | Step 1850] Loss: 1.0544
[Epoch 5 | Step 1900] Loss: 0.9602
[Epoch 5 | Step 1950] Loss: 0.9832
[Epoch 5 | Step 2000] Loss: 0.8407
[Epoch 5 | Step 2050] Loss: 0.9692
[Epoch 5 | Step 2100] Loss: 0.9085
[Epoch 5 | Step 2150] Loss: 0.9237
[Epoch 5 | Step 2200] Loss: 0.8611
[Epoch 5 | Step 2250] Loss: 0.8786
[Epoch 5 | Step 2300] Loss: 0.8932
[Epoch 5 | Step 2350] Loss: 0.9759
[Epoch 5 | Step 2400] Loss: 0.8025
[Epoch 5 | Step 2450] Loss: 0.8015
[Epoch 5 | Step 2500] Loss: 0.8053
[Epoch 5 | Step 2550] Loss: 0.8351
[Epoch 5 | Step 2600] Loss: 0.9839
[Epoch 5 | Step 2650] Loss: 0.9161
[Epoch 5 | Step 2700] Loss: 0.9456
[Epoch 5 | Step 2750] Loss: 0.8932
[Epoch 5 | Step 2800] Loss: 0.8989
[Epoch 5 | Step 2850] Loss: 0.9407
[Epoch 5 | Step 2900] Loss: 0.9803
[Epoch 5 | Step 2950] Loss: 0.8415
[Epoch 5 | Step 3000] Loss: 0.8763
[Epoch 5 | Step 3050] Loss: 0.9145
[Epoch 5 | Step 3100] Loss: 0.8241
[Epoch 5 | Step 3150] Loss: 0.9348
[Epoch 5 | Step 3200] Loss: 0.9958
[Epoch 5 | Step 3250] Loss: 0.9295
[Epoch 5 | Step 3300] Loss: 0.8586
[Epoch 5 | Step 3350] Loss: 0.8897
[Epoch 5 | Step 3400] Loss: 0.8836
[Epoch 5 | Step 3450] Loss: 0.8690
[Epoch 5 | Step 3500] Loss: 0.9150
[Epoch 5 | Step 3550] Loss: 0.7425
[Epoch 5 | Step 3600] Loss: 0.8662
[Epoch 5 | Step 3650] Loss: 0.9742
[Epoch 5 | Step 3700] Loss: 1.0373
[Epoch 5 | Step 3750] Loss: 0.8872
[Epoch 5 | Step 3800] Loss: 0.9602
[Epoch 5 | Step 3850] Loss: 0.9600
[Epoch 5 | Step 3900] Loss: 0.9062
[Epoch 5 | Step 3950] Loss: 0.9619
[Epoch 5 | Step 4000] Loss: 0.8190
